lon,lat,ROUTE_NUMBER,DELAY,Current_Stop,From,Destination,Direction,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.990302,48.933803,Os 9411 ,0,Kamenica nad Cirochou,Humenné,Stakčín,6,1615017093454,6,8,51,33
21.92189,49.13492,Os 8908 ,0,Radvaň nad Laborcom,Medzilaborce,Humenné,39,1615017123461,6,8,52,3
21.32044,49.04386,Os 9111 ,0,Kapušany pri Prešove,Prešov,Humenné,12,1615017423543,6,8,57,3
21.90506,49.26186,Os 8911 ,0,Medzilaborce,Humenné,Medzilaborce mesto,13,1615020514332,6,9,48,34
21.82483,48.86766,Os 9112 ,0,Strážske,Humenné,Prešov,3,1615020694407,6,9,51,34
21.01324,48.89469,Os 7810 ,0,Margecany,Košice,Poprad-Tatry,9,1615021024478,6,9,57,4
21.241086,48.873332,Os 8511 ,0,Ličartovce,Lipany,Košice,18,1615021114510,6,9,58,34
21.75188,48.85705,Os 9112 ,0,Nižný Hrabovec,Humenné,Prešov,3,1615021204525,6,10,0,4
21.22393,48.85288,R 606 TATRAN,420,Kysak,Košice,Bratislava hlavná stanica,23,1615022224885,6,10,17,4
21.249126,48.983379,Os 8510 ,-60,Prešov,Kysak,Lipany,0,1615022224885,6,10,17,4
20.471821,49.184593,Os 8311 ,0,Spišská Belá zastávka,Poprad-Tatry,Stará Ľubovňa,2,1615022300031,6,10,18,20
21.40544,49.04906,Os 9115 ,300,Lipníky,Prešov,Humenné,12,1615025690985,6,11,14,50
21.22393,48.85288,R 615 TATRAN ZEMPLÍN,240,Kysak,Bratislava hlavná stanica,Humenné,30,1615001788789,6,4,36,28
20.63011,48.83833,Os 7451 ,0,Nálepkovo,Dobšinská Ľadová Jaskyňa,Margecany,33,1615001908862,6,4,38,28
21.40544,49.04906,Os 9100 ,0,Lipníky,Humenné,Prešov,3,1615003679370,6,5,7,59
20.52637,49.25529,Os 8301 ,0,Podolínec,Poprad-Tatry,Stará Ľubovňa,2,1615003739355,6,5,8,59
